rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
10,Merri-bek,2BR Apartment/unit,52,50,7,0.1346153846153846,0.12307102865800797,0.11557454163505314,0.10630447755238945,0.142661937300901,True,False,all_review_histories,random_forest
11,Boroondara,2BR Apartment/unit,55,50,5,0.09090909090909091,0.12053124183275776,0.10953152240934196,0.09780509094578253,0.14955370508330693,True,False,all_review_histories,random_forest
12,Glen Eira,2BR Apartment/unit,55,36,5,0.09090909090909091,0.11817704923051835,0.11097624251045271,0.08957814738358363,0.14288125365615814,True,False,all_review_histories,random_forest
13,Yarra,2BR Apartment/unit,161,123,18,0.11180124223602485,0.113875588945583,0.10876239701100429,0.10943062246161872,0.11871325502060409,False,False,all_review_histories,random_forest
14,Stonnington,1BR Apartment/unit,254,180,26,0.10236220472440945,0.1061002606631496,0.10389826382553183,0.101338910047288,0.11086582080083703,False,False,all_review_histories,random_forest
15,Port Phillip,2BR Apartment/unit,360,261,40,0.1111111111111111,0.10449987823458672,0.0946048228218829,0.0971293895621631,0.11288075529569291,False,False,all_review_histories,random_forest
16,Stonnington,3BR House/townhouse,61,51,5,0.08196721311475409,0.0870862524869052,0.08610528001203971,0.07666447413063805,0.09839904512651611,True,False,all_review_histories,random_forest
17,Port Phillip,1BR Apartment/unit,477,386,40,0.08385744234800839,0.08550940293406553,0.07966029559159732,0.08064044465954483,0.0900602350080538,False,False,all_review_histories,random_forest
18,Port Phillip,3BR House/townhouse,101,76,7,0.06930693069306931,0.08329488003148466,0.0809831900422306,0.06941804411302989,0.0963565744080361,True,False,all_review_histories,random_forest
19,Port Phillip,2BR House/townhouse,75,71,5,0.06666666666666667,0.08175703351894067,0.07862362962163184,0.07086717252443359,0.09419808411922383,True,False,all_review_histories,random_forest
20,Wyndham,3BR House/townhouse,52,47,2,0.038461538461538464,0.07800489008180732,0.0654115971188095,0.06626603396903721,0.09174084609000097,True,False,all_review_histories,random_forest
21,Stonnington,2BR Apartment/unit,142,110,8,0.056338028169014086,0.07556596461600762,0.07283739807783804,0.06794839408933345,0.08383982098379358,True,False,all_review_histories,random_forest
22,Whitehorse,2BR Apartment/unit,71,50,1,0.014084507042253521,0.043945608972301785,0.03388890862302917,0.03481141030816052,0.05390738408083965,True,False,all_review_histories,random_forest
1,Melbourne,3BR Apartment/unit,379,170,116,0.30606860158311344,0.2902351002757088,0.2899077889136061,0.2723847733625745,0.3063376835746602,False,False,no_price_filter,logistic
2,Melbourne,2BR Apartment/unit,1608,714,421,0.26181592039800994,0.2513535743053235,0.24858857080171937,0.24096766855322777,0.2613297346993993,False,False,no_price_filter,logistic
3,Yarra Ranges,3BR House/townhouse,102,88,27,0.2647058823529412,0.24793612330764375,0.2434655255897233,0.23191431146364927,0.26389138089484576,False,False,no_price_filter,logistic
4,Yarra Ranges,2BR House/townhouse,56,44,11,0.19642857142857142,0.21972292874244118,0.21012270480568906,0.19879725441540108,0.24197958298527208,False,False,no_price_filter,logistic
5,Melbourne,1BR Apartment/unit,1254,665,243,0.1937799043062201,0.19998600287893298,0.1944129787023857,0.19312762402407277,0.20741604039605746,False,False,no_price_filter,logistic
6,Yarra,3BR House/townhouse,62,57,8,0.12903225806451613,0.14320743732479949,0.14671721026940748,0.1255232480292107,0.160085699385338,True,False,no_price_filter,logistic
7,Yarra,2BR Apartment/unit,163,140,15,0.09202453987730061,0.14205352476267707,0.14484668787731003,0.1336567779089349,0.1494524056614309,False,False,no_price_filter,logistic
8,Yarra,2BR House/townhouse,115,112,16,0.1391304347826087,0.12690844798192283,0.12723524081946933,0.11827541302945825,0.13673672580306656,False,False,no_price_filter,logistic
9,Merri-bek,2BR Apartment/unit,62,60,6,0.0967741935483871,0.12033745290536074,0.0925671014692985,0.09850322096328694,0.14398722959598959,True,False,no_price_filter,logistic
10,Port Phillip,3BR House/townhouse,84,70,8,0.09523809523809523,0.11073328389560351,0.10797712638113066,0.09900908851536516,0.12145832775361552,True,False,no_price_filter,logistic
11,Glen Eira,2BR Apartment/unit,53,38,4,0.07547169811320754,0.10941778208575897,0.09636313556181264,0.07599568335931045,0.14173151836595202,True,False,no_price_filter,logistic
12,Yarra,1BR Apartment/unit,330,280,43,0.1303030303030303,0.10834177584406952,0.10928062501641209,0.10364846170005981,0.1131987835201795,False,False,no_price_filter,logistic
13,Port Phillip,2BR Apartment/unit,346,292,38,0.10982658959537572,0.09824026219025095,0.09453779544180436,0.09184062132322385,0.10423493365685636,False,False,no_price_filter,logistic
14,Stonnington,2BR Apartment/unit,139,118,10,0.07194244604316546,0.09817960959128584,0.09917274395888889,0.0922974839540704,0.10449825465403421,False,False,no_price_filter,logistic
15,Port Phillip,2BR House/townhouse,69,67,5,0.07246376811594203,0.09203636109112862,0.08567813569459745,0.08179029282442572,0.10308654007305869,True,False,no_price_filter,logistic
